generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1770136835-1CArvfJ0xmmHVls93sXt,40:34.4,0.023932,,,,0.023932,860,1851,1549,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,22287,3680,,obsidian_openrouter
gen-1770136810-xRWsjNUtxJLkiWwszmUO,40:09.8,0.00145,,,,0.00145,1401,250,0,0,google/gemini-3-flash-preview-20251217,Google,standard,FALSE,TRUE,,STOP,stop,22837,21381,,obsidian_openrouter
gen-1770136810-K9IDRglfkQDwgLs4tCCz,40:09.8,0.000089,,,,0.000089,205,173,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,1428,563,,obsidian_openrouter
gen-1770136779-FT22Qf41oqWsCc3WIp6u,39:38.8,0.001532,,,,0.001532,1396,278,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2584,1081,,obsidian_openrouter
gen-1770136779-qX9b4LeIJe8vFAD9YTcE,39:38.8,0.000097,,,,0.000097,208,192,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,1810,625,,obsidian_openrouter
gen-1770136757-V7IsQizQRvugbs69bXqk,39:17.1,0.001494,,,,0.001494,1344,274,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2693,1303,,obsidian_openrouter
gen-1770136748-9kiyMjiMkEV8BMmAHvXs,39:08.1,0.000093,,,,0.000093,177,189,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2936,1918,,obsidian_openrouter
gen-1770136718-NLvgIfYJGHAuL81jVOwC,38:37.6,0.001567,,,,0.001567,1382,292,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2921,1174,,obsidian_openrouter
gen-1770136718-lkdqcPrGDeY3ZX55B3Bp,38:37.6,0.00012,,,,0.00012,213,249,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,1750,687,,obsidian_openrouter
gen-1770136688-t4uCZeUOZoK3uvb732hn,38:07.5,0.001502,,,,0.001502,1397,268,0,0,google/gemini-3-flash-preview-20251217,Google,standard,FALSE,TRUE,,STOP,stop,35423,33711,,obsidian_openrouter
gen-1770136688-0xkZStwusHBLyj7OFWrN,38:07.5,0.00013,,,,0.00013,236,266,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2974,1769,,obsidian_openrouter
gen-1770136658-4l57c4kcnYmwW2BVG3UX,37:37.9,0.021184,,,,0.021184,578,1669,1382,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,21399,3494,,obsidian_openrouter
gen-1770136654-i0bM97ZYAUtifnMXBGX4,37:34.1,0.00155,,,,0.00155,1330,295,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2629,1060,,obsidian_openrouter
gen-1770136654-FebfDRUQNsPTnREU0nKd,37:33.7,0.000104,,,,0.000104,193,214,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2438,586,,obsidian_openrouter
gen-1770136621-oKTrZkwDrWHdKPqHCH0s,37:00.2,0.001602,,,,0.001602,1261,324,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2733,1042,,obsidian_openrouter
gen-1770136621-irvPtsgylWGcfepR5vcO,37:00.2,0.000094,,,,0.000094,178,191,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,1491,550,,obsidian_openrouter
gen-1770136590-yz2mTG6KDb8rLAQfOaXR,36:29.8,0.001383,,,,0.001383,1207,260,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2522,1169,,obsidian_openrouter
gen-1770136590-QnVvYTcqkSM8KB8BFgHc,36:29.8,0.0001,,,,0.0001,173,208,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2783,1803,,obsidian_openrouter
gen-1770136559-FrCSaeqYjSVIMUcTp0Ar,35:58.9,0.00012,,,,0.00012,220,247,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,1572,501,,obsidian_openrouter
gen-1770136559-I1XA1bVGtAZnmibChRYe,35:58.9,0.001513,,,,0.001513,1173,309,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2909,1130,,obsidian_openrouter
gen-1770136532-Y5KzDkzDsdL9uyW2Yi2d,35:31.8,0.019508,,,,0.019508,352,1567,1275,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,20615,3496,,obsidian_openrouter
gen-1770136528-MrwziUtfsFwhFLAXYVTi,35:27.4,0.001375,,,,0.001375,945,301,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2691,1209,,obsidian_openrouter
gen-1770136528-jrNLv2C79v2GCcvLKvCf,35:27.4,0.000136,,,,0.000136,238,282,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2020,741,,obsidian_openrouter
gen-1770128939-UFqhniyGy9t9jwRjq32P,28:59.2,0.000088,,,,0.000088,201,172,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,1172,425,,obsidian_openrouter
gen-1770128940-i347JMWZI7gHWAz7wJby,28:59.1,0.001594,,,,0.001594,1382,301,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2887,1136,,obsidian_openrouter
gen-1770128909-5N4N2ZBQRGB79UjmsuDW,28:28.8,0.001726,,,,0.001726,1437,336,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,3131,1201,,obsidian_openrouter
gen-1770128909-zJikH0ouxDJoXxHknLlT,28:28.7,0.000122,,,,0.000122,235,247,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2721,1681,,obsidian_openrouter
gen-1770128878-DAeQKDgWEu4svEleo32u,27:57.3,0.00161,,,,0.00161,1426,299,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2690,837,,obsidian_openrouter
gen-1770128878-2MxjiTKv0rup5cD7WVRL,27:57.3,0.00011,,,,0.00011,233,218,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2392,1689,,obsidian_openrouter
gen-1770128857-IXyF3vukDYiSobzwHNW9,27:36.2,0.02195,,,,0.02195,571,1734,1414,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,23988,3955,,obsidian_openrouter
gen-1770128852-dv1n2ZJwX6ek2C7CkEKn,27:31.6,0.001613,,,,0.001613,1421,301,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2978,933,,obsidian_openrouter
gen-1770128847-UxpnUKLoC4QeVpPjNh1H,27:26.5,0.001625,,,,0.001625,1421,305,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2703,1477,,obsidian_openrouter
gen-1770128847-uzQGzLWdiTJ9LOTf8aUQ,27:26.5,0.000125,,,,0.000125,275,246,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,1456,515,,obsidian_openrouter
gen-1770128816-ID20AjVPFuAcy6vvr50f,26:55.6,0.001466,,,,0.001466,1342,265,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2414,1013,,obsidian_openrouter
gen-1770128816-WE7ylVzTSEgPLBs9Xu2n,26:55.5,0.000099,,,,0.000099,244,188,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2399,1735,,obsidian_openrouter
gen-1770128786-FsfvIqWrCTaM2iGWNDp3,26:25.2,0.000094,,,,0.000094,199,187,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,1303,496,,obsidian_openrouter
gen-1770128786-FVLKMef9hdCzyPLRs46T,26:25.2,0.001375,,,,0.001375,1226,254,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2474,1095,,obsidian_openrouter
gen-1770128755-vmFXEBzeUnUxf3euzU33,25:54.3,0.001563,,,,0.001563,1218,318,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2734,1112,,obsidian_openrouter
gen-1770128755-qcpZAZdxTn7261XwSU8i,25:54.3,0.000126,,,,0.000126,256,251,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2402,1583,,obsidian_openrouter
gen-1770128726-32NzXwamEvaVQCjLOLKV,25:25.7,0.02008,,,,0.02008,356,1614,1308,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,21889,3892,,obsidian_openrouter
gen-1770128722-icWTXy0NxliRvBUfHTUB,25:21.0,0.001418,,,,0.001418,964,312,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,3039,1310,,obsidian_openrouter
gen-1770128722-Sq2vkYzTbcwrpXdjDGN0,25:21.0,0.000118,,,,0.000118,257,231,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2686,1841,,obsidian_openrouter
gen-1770127506-VaJe00emOrzOXlYZ35uX,05:05.7,0.000105,,,,0.000105,232,205,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2446,1590,,obsidian_openrouter
gen-1770127506-KaLgd1zENzjUNhkVfqi1,05:05.7,0.001635,,,,0.001635,1428,307,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2853,1036,,obsidian_openrouter
gen-1770127475-u3giN9tgX1Z4WV7sZA86,04:35.1,0.000082,,,,0.000082,214,152,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,1179,532,,obsidian_openrouter
gen-1770127476-HzcVwJgHJmDrMDFIYl3S,04:35.0,0.001552,,,,0.001552,1424,280,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2644,1161,,obsidian_openrouter
gen-1770127445-4N7qX9Ug37Ov4MAnJaCm,04:04.2,0.000112,,,,0.000112,223,225,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2677,1675,,obsidian_openrouter
gen-1770127445-eUuTZwmChmCJm0r3ulvW,04:04.2,0.001535,,,,0.001535,1445,271,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2689,1147,,obsidian_openrouter
gen-1770127414-3joB8d1NBovQWL3QlqoK,03:33.2,0.000103,,,,0.000103,231,201,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,1342,427,,obsidian_openrouter
gen-1770127413-mjetJHwcMqc8ZN64w5a4,03:33.1,0.001606,,,,0.001606,1431,297,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,3005,1334,,obsidian_openrouter
gen-1770127383-Sz5koxRbYtX7NsYdoLON,03:02.5,0.001718,,,,0.001718,1402,339,0,0,google/gemini-3-flash-preview-20251217,Google,standard,FALSE,TRUE,,STOP,stop,7537,5350,,obsidian_openrouter
gen-1770127382-hJSRsGsi3vsWAhJxGK3U,03:02.4,0.000108,,,,0.000108,224,216,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,1563,550,,obsidian_openrouter
gen-1770127358-6l7NCIrPdCvPKJKHeShq,02:37.0,0.001652,,,,0.001652,1426,313,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2664,1859,,obsidian_openrouter
gen-1770127352-a6EQexXo2G5qqcDikbDq,02:31.6,0.00012,,,,0.00012,223,246,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,1655,482,,obsidian_openrouter
gen-1770127352-fRk8aLo145e3O2zbEaNC,02:31.6,0.001595,,,,0.001595,1426,294,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2748,1169,,obsidian_openrouter
gen-1770127317-PihkZdqiuBzTxMaQmKej,01:55.4,0.000097,,,,0.000097,217,190,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2186,1579,,obsidian_openrouter
gen-1770127316-uVS3C39rhJyyxuHU5XtJ,01:55.4,0.001557,,,,0.001557,1411,284,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2827,2099,,obsidian_openrouter
gen-1770127285-9ycBywNn70wHTdxy5IYq,01:24.5,0.00156,,,,0.00156,1416,284,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,3167,1544,,obsidian_openrouter
gen-1770127285-lBApmD5X0NERwPdSlBBu,01:24.5,0.000093,,,,0.000093,217,179,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2498,1670,,obsidian_openrouter
gen-1770127258-ZFMYJXYKEWN1FTXk8G0U,00:57.4,0.022954,,,,0.022954,815,1777,1485,0,google/gemini-3-pro-preview-20251117,Google,standard,FALSE,TRUE,,STOP,stop,30134,7636,,obsidian_openrouter
