Timestamp,Type,Model,PromptTokens,CompletionTokens,TotalTokens,Cost,BatchNum
2026-02-04 12:15:10,Analysis,google/gemini-3-flash-preview,1058,323,1381,0.000000,10
2026-02-04 12:15:29,Summary,google/gemini-3-pro-preview,359,1342,1701,0.000000,-
2026-02-04 12:15:39,Translate,google/gemini-2.5-flash-lite,225,205,430,0.000000,11
2026-02-04 12:15:52,Analysis,google/gemini-3-flash-preview,1205,272,1477,0.000000,11
2026-02-04 12:16:09,Translate,google/gemini-2.5-flash-lite,242,223,465,0.000000,12
2026-02-04 12:16:11,Analysis,google/gemini-3-flash-preview,1270,250,1520,0.000000,12
2026-02-04 12:16:42,Translate,google/gemini-2.5-flash-lite,202,209,411,0.000000,13
2026-02-04 12:16:44,Analysis,google/gemini-3-flash-preview,1285,335,1620,0.000000,13
2026-02-04 12:17:11,Translate,google/gemini-2.5-flash-lite,256,246,502,0.000000,14
2026-02-04 12:17:25,Analysis,google/gemini-3-flash-preview,1405,322,1727,0.000000,14
2026-02-04 12:19:08,Translate,google/gemini-2.5-flash-lite,269,271,540,0.000000,1
2026-02-04 12:19:08,Analysis,google/gemini-3-flash-preview,975,282,1257,0.000000,1
2026-02-04 12:19:28,Summary,google/gemini-3-pro-preview,345,1526,1871,0.000000,-
2026-02-04 12:19:36,Translate,google/gemini-2.5-flash-lite,240,245,485,0.000000,2
2026-02-04 12:19:39,Analysis,google/gemini-3-flash-preview,1186,278,1464,0.000000,2
2026-02-04 12:20:07,Translate,google/gemini-2.5-flash-lite,245,245,490,0.000000,3
2026-02-04 12:20:09,Analysis,google/gemini-3-flash-preview,1247,288,1535,0.000000,3
2026-02-04 12:20:38,Translate,google/gemini-2.5-flash-lite,249,231,480,0.000000,4
2026-02-04 12:21:30,Analysis,google/gemini-3-flash-preview,997,298,1295,0.000000,1
2026-02-04 12:23:43,Analysis,google/gemini-3-flash-preview,956,262,1218,0.000000,1
2026-02-04 12:24:07,Summary,google/gemini-3-pro-preview,346,1794,2140,0.000000,-
2026-02-04 12:24:18,Analysis,google/gemini-3-flash-preview,1192,275,1467,0.000000,2
2026-02-04 12:24:47,Analysis,google/gemini-3-flash-preview,1256,272,1528,0.000000,3
2026-02-04 12:25:18,Analysis,google/gemini-3-flash-preview,1295,285,1580,0.000000,4
2026-02-04 12:25:49,Analysis,google/gemini-3-flash-preview,1348,293,1641,0.000000,5
2026-02-04 12:26:54,Analysis,google/gemini-3-flash-preview,990,309,1299,0.000000,1
2026-02-04 12:27:12,Summary,google/gemini-3-pro-preview,366,1387,1753,0.000000,-
2026-02-04 12:27:17,Analysis,google/gemini-3-flash-preview,1213,280,1493,0.000000,2
2026-02-04 12:27:48,Analysis,google/gemini-3-flash-preview,1285,343,1628,0.000000,3
2026-02-04 12:28:58,Analysis,google/gemini-3-flash-preview,970,253,1223,0.000000,1
2026-02-04 12:29:24,Summary,google/gemini-3-pro-preview,347,1635,1982,0.000000,-
2026-02-04 12:29:26,Analysis,google/gemini-3-flash-preview,1187,308,1495,0.000000,2
2026-02-04 12:29:57,Analysis,google/gemini-3-flash-preview,1220,342,1562,0.000000,3
2026-02-04 12:30:27,Analysis,google/gemini-3-flash-preview,1306,346,1652,0.000000,4
2026-02-04 12:30:58,Analysis,google/gemini-3-flash-preview,1392,328,1720,0.000000,5
2026-02-04 12:31:23,Summary,google/gemini-3-pro-preview,592,1844,2436,0.000000,-
2026-02-04 12:31:28,Analysis,google/gemini-3-flash-preview,1431,277,1708,0.000000,6
2026-02-04 12:31:34,Analysis,google/gemini-3-flash-preview,1431,280,1711,0.000000,6
2026-02-04 12:31:59,Analysis,google/gemini-3-flash-preview,1421,276,1697,0.000000,7
2026-02-04 12:32:30,Analysis,google/gemini-3-flash-preview,1416,244,1660,0.000000,8
2026-02-04 12:33:01,Analysis,google/gemini-3-flash-preview,1403,280,1683,0.000000,9
2026-02-04 12:33:31,Analysis,google/gemini-3-flash-preview,1387,263,1650,0.000000,10
2026-02-04 12:34:06,Summary,google/gemini-3-pro-preview,852,2428,3280,0.000000,-
2026-02-04 12:34:08,Analysis,google/gemini-3-flash-preview,1395,332,1727,0.000000,11
2026-02-04 12:34:36,Summary,google/gemini-3-pro-preview,871,2196,3067,0.000000,-
2026-02-04 12:34:39,Analysis,google/gemini-3-flash-preview,1412,302,1714,0.000000,12
2026-02-04 12:35:05,Summary,google/gemini-3-pro-preview,883,1928,2811,0.000000,-
2026-02-04 12:35:09,Analysis,google/gemini-3-flash-preview,1467,316,1783,0.000000,13
2026-02-04 12:35:34,Summary,google/gemini-3-pro-preview,887,1918,2805,0.000000,-
2026-02-04 12:35:40,Analysis,google/gemini-3-flash-preview,1474,301,1775,0.000000,14
2026-02-04 12:36:04,Summary,google/gemini-3-pro-preview,887,1926,2813,0.000000,-
2026-02-04 12:36:11,Analysis,google/gemini-3-flash-preview,1461,339,1800,0.000000,15
2026-02-04 12:36:35,Summary,google/gemini-3-pro-preview,885,1831,2716,0.000000,-
2026-02-04 12:36:41,Analysis,google/gemini-3-flash-preview,1468,265,1733,0.000000,16
2026-02-04 12:37:06,Summary,google/gemini-3-pro-preview,913,2094,3007,0.000000,-
2026-02-04 12:37:11,Analysis,google/gemini-3-flash-preview,1460,321,1781,0.000000,17
2026-02-04 12:37:38,Summary,google/gemini-3-pro-preview,933,2158,3091,0.000000,-
2026-02-04 12:37:49,Analysis,google/gemini-3-flash-preview,1484,302,1786,0.000000,18
2026-02-04 12:38:14,Analysis,google/gemini-3-flash-preview,1444,327,1771,0.000000,19
2026-02-04 12:38:16,Summary,google/gemini-3-pro-preview,938,2210,3148,0.000000,-
2026-02-04 12:38:36,Summary,google/gemini-3-pro-preview,950,1614,2564,0.000000,-
2026-02-04 12:38:45,Analysis,google/gemini-3-flash-preview,1442,310,1752,0.000000,20
2026-02-04 12:39:10,Summary,google/gemini-3-pro-preview,952,1842,2794,0.000000,-
2026-02-04 12:39:16,Analysis,google/gemini-3-flash-preview,1420,250,1670,0.000000,21
2026-02-04 12:39:42,Summary,google/gemini-3-pro-preview,919,1933,2852,0.000000,-
2026-02-04 12:39:46,Analysis,google/gemini-3-flash-preview,1391,258,1649,0.000000,22
2026-02-04 12:40:15,Summary,google/gemini-3-pro-preview,915,1989,2904,0.000000,-
2026-02-04 12:40:16,Analysis,google/gemini-3-flash-preview,1436,252,1688,0.000000,23
2026-02-04 12:40:45,Summary,google/gemini-3-pro-preview,902,2280,3182,0.000000,-
2026-02-04 12:40:48,Analysis,google/gemini-3-flash-preview,1421,304,1725,0.000000,24
2026-02-04 12:41:18,Analysis,google/gemini-3-flash-preview,1398,331,1729,0.000000,25
2026-02-04 12:41:20,Summary,google/gemini-3-pro-preview,895,2284,3179,0.000000,-
2026-02-04 12:41:41,Summary,google/gemini-3-pro-preview,886,1691,2577,0.000000,-
2026-02-04 12:41:45,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,26
2026-02-04 12:41:47,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,26
2026-02-04 12:41:50,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,26
2026-02-04 12:42:15,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,27
2026-02-04 12:42:17,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,27
2026-02-04 12:42:20,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,27
2026-02-04 12:42:46,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,28
2026-02-04 12:42:48,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,28
2026-02-04 12:42:50,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,28
2026-02-04 12:43:17,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,29
2026-02-04 12:43:18,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,29
2026-02-04 12:43:20,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,29
2026-02-04 12:43:47,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,30
2026-02-04 12:43:49,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,30
2026-02-04 12:43:51,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,30
2026-02-04 12:44:18,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,31
2026-02-04 12:44:20,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,31
2026-02-04 12:44:22,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,31
2026-02-04 12:44:49,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,32
2026-02-04 12:44:50,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,32
2026-02-04 12:44:52,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,32
2026-02-04 12:45:20,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,33
2026-02-04 12:45:21,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,33
2026-02-04 12:45:23,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,33
2026-02-04 12:45:50,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,34
2026-02-04 12:45:52,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,34
2026-02-04 12:45:54,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,34
2026-02-04 14:20:01,Analysis,google/gemini-3-flash-preview,942,340,1282,0.000000,1
2026-02-04 14:20:20,Summary,google/gemini-3-pro-preview,367,1545,1912,0.000000,-
